SMILES,RPSA,RNCS,RPCG,FNSA-1,RHSA,RPCS,FNSA-2,PNSA-1,PPSA-1,FNSA-3,FPSA-1,DPSA-1,PNSA-2,PPSA-2,nHBAcc,WNSA-1,FPSA-2,DPSA-2,PNSA-3,PPSA-3,WNSA-2,FPSA-3,DPSA-3,nHBDon,WNSA-3,TPSA,WPSA-1,THSA,RNCG,WPSA-2,apol,bpol,WPSA-3
InChI%3D1S%2FC10H9NO6%2Fc1-16-9%2812%296-3-4-7%2810%2813%2917-2%298%285-6%2911%2814%2915%2Fh3-5H%2C1-2H3, 0.225892469286919, 3.68558740615845, 0.194940939545631, 0.440135478973389, 0.77410751581192, 0.324923366308212, -0.66662186384201, 217.783737182617, 277.026947021484, -0.0801274925470352, 0.559864521026611, 59.2432136535645, -329.851623535156, 419.580413818359, 4.0, 107.76171875, 0.847961485385895, 749.432006835938, -39.6479377746582, 17.574520111084, -163.214111328125, 0.0355176627635956, 57.2224578857422, 0.0, -19.6182231903076, 111.774002075195, 137.075897216797, 383.036682128906, 0.208062425255775, 207.612869262695, 29.5131378173828, 16.8428630828857, 8.69606018066406
InChI%3D1S%2FC12H17NO%2Fc1-4-13%285-2%2912%2814%2911-8-6-7-10%283%299-11%2Fh6-9H%2C4-5H2%2C1-3H3, 0.0720575675368309, 9.94732284545898, 0.252203226089478, 0.249285638332367, 0.927942454814911, 0.142766132950783, -0.230907335877419, 118.019180297852, 355.410339355469, -0.0288746450096369, 0.750714361667633, 237.391159057617, -109.318351745605, 329.208099365234, 2.0, 55.8737640380859, 0.695368766784668, 438.526458740234, -13.6701097488403, 13.1329650878906, -51.7545318603516, 0.0277400631457567, 26.8030738830566, 0.0, -6.47183322906494, 34.1141777038574, 168.261749267578, 439.315338134766, 0.296509265899658, 155.856842041016, 34.357479095459, 21.522518157959, 6.21753311157227
InChI%3D1S%2FC5H4ClNO%2Fc6-4-1-2-5%288%297-3-4%2Fh1-3H%2C%28H%2C7%2C8%29, 0.277190566062927, 17.3160514831543, 0.294157326221466, 0.454290688037872, 0.722809433937073, 11.2121858596802, -0.338923722505569, 158.30908203125, 190.166198730469, -0.0791726410388947, 0.545709311962128, 31.8571243286133, -118.10652923584, 141.873550415039, 1.0, 55.1667976379395, 0.407126575708389, 259.980072021484, -27.5897083282471, 21.4236278533936, -41.1572074890137, 0.0614781901240349, 49.0133361816406, 1.0, -9.61433124542236, 96.5940551757812, 66.2682189941406, 251.881210327148, 0.462030112743378, 49.4394226074219, 15.5491724014282, 6.11282777786255, 7.46560478210449
InChI%3D1S%2FC8H8Cl2%2Fc9-5-7-1-2-8%286-10%294-3-7%2Fh1-4H%2C5-6H2, 0.0, 19.3184757232666, 0.119826190173626, 0.526879012584686, 1.0, 0.406984210014343, -0.325677305459976, 195.521728515625, 175.572418212891, -0.0717844441533089, 0.473120957612991, -19.9493103027344, -120.856948852539, 108.525772094727, 0.0, 72.5569686889648, 0.292448073625565, 229.382720947266, -26.6387882232666, 10.4223957061768, -44.8493041992188, 0.0280855838209391, 37.0611839294434, 0.0, -9.88549900054932, 0.0, 65.1539001464844, 371.094146728516, 0.272316128015518, 40.2732772827148, 23.7743434906006, 9.58565616607666, 3.86769032478333
InChI%3D1S%2FC9H11N%2Fc1-2-8-10-9-6-4-3-5-7-9%2Fh2-7%2C10H%2C1%2C8H2, 0.0184903051704168, 3.00114631652832, 0.174585074186325, 0.343245208263397, 0.981509685516357, 2.44862174987793, -0.252150923013687, 143.792861938477, 275.128814697266, -0.0296118836849928, 0.656754791736603, 131.335952758789, -105.631484985352, 202.112014770508, 1.0, 60.2379417419434, 0.482457786798477, 307.743499755859, -12.4050598144531, 16.4601383209229, -44.2513160705566, 0.039291687309742, 28.865198135376, 1.0, -5.19674825668335, 7.74598932266235, 115.257415771484, 411.175659179688, 0.3874451816082, 84.6690979003906, 24.2747230529785, 12.6852769851685, 6.89550876617432
InChI%3D1S%2FC7H8O%2Fc1-6-2-4-7%288%295-3-6%2Fh2-5%2C8H%2C1H3, 0.190150365233421, 19.6796073913574, 0.347115725278854, 0.330614566802979, 0.809849619865417, 7.47925901412964, -0.207432895898819, 97.0315856933594, 196.456939697266, -0.0514331832528114, 0.669385433197021, 99.4253616333008, -60.8791770935059, 123.260246276855, 0.0, 28.4776554107666, 0.419983208179474, 184.139419555664, -15.0950489044189, 13.0358057022095, -17.8673400878906, 0.0444167479872704, 28.1308555603027, 1.0, -4.43022394180298, 55.8069496154785, 57.6578598022461, 237.681579589844, 0.574418127536774, 36.1754684448242, 18.4563446044922, 8.74565601348877, 3.8258593082428
InChI%3D1S%2FC10H22O%2Fc1-2-3-4-5-6-7-8-9-10-11%2Fh11H%2C2-10H2%2C1H3, 0.104392431676388, 14.3597459793091, 0.242723405361176, 0.164772719144821, 0.895607590675354, 6.6850757598877, -0.142370775341988, 92.963134765625, 471.226989746094, -0.0288313496857882, 0.835227310657501, 378.263854980469, -80.3241806030273, 407.160552978516, 1.0, 52.4488830566406, 0.721672594547272, 487.484741210938, -16.2663631439209, 18.5362014770508, -45.3181114196777, 0.0328545272350311, 34.802562713623, 1.0, -9.177321434021, 58.8971786499023, 265.861602783203, 505.292938232422, 0.457969725131989, 229.715957641602, 33.0714454650879, 24.0505542755127, 10.4579410552979
InChI%3D1S%2FC6H6N2O3%2Fc7-4-1-2-6%289%295%283-4%298%2810%2911%2Fh1-3%2C9H%2C7H2, 0.187251150608063, 12.017144203186, 0.219104617834091, 0.524349689483643, 0.812748849391937, 1.91458201408386, -0.521435737609863, 174.016067504883, 157.854202270508, -0.0892933234572411, 0.475650310516357, -16.1618747711182, -173.049026489258, 156.976974487305, 1.0, 57.7507629394531, 0.473007023334503, 330.026000976562, -29.6338005065918, 15.4845581054688, -57.4298286437988, 0.0466584675014019, 45.1183586120605, 2.0, -9.8345775604248, 62.1430931091309, 52.3871154785156, 269.727172851562, 0.360040187835693, 52.0959892272949, 19.1667575836182, 7.15524196624756, 5.13886451721191
InChI%3D1S%2FC8H9NO%2Fc1-6%2810%297-3-2-4-8%289%295-7%2Fh2-5H%2C9H2%2C1H3, 0.183074802160263, 7.66777372360229, 0.202815592288971, 0.352101355791092, 0.816925168037415, 1.37770783901215, -0.276986926794052, 117.330352783203, 215.898559570312, -0.0611677467823029, 0.647898614406586, 98.5682067871094, -92.300048828125, 169.840515136719, 2.0, 39.0978660583496, 0.509681224822998, 262.140563964844, -20.3828620910645, 14.203164100647, -30.757043838501, 0.0426228456199169, 34.5860252380371, 1.0, -6.79215908050537, 61.0058174133301, 71.9436416625977, 272.223083496094, 0.384555906057358, 56.5957679748535, 21.9831371307373, 10.1368627548218, 4.73290491104126
InChI%3D1S%2FC10H19O6PS2%2Fc1-5-15-9%2811%297-8%2810%2812%2916-6-2%2919-17%2818%2C13-3%2914-4%2Fh8H%2C5-7H2%2C1-4H3, 0.133037135004997, 0.677088379859924, 0.140999615192413, 0.236018940806389, 0.866962850093842, 0.0, -0.460902571678162, 150.567321777344, 487.378601074219, -0.0415208823978901, 0.76398104429245, 336.811279296875, -294.030914306641, 951.762756347656, 6.0, 96.0538101196289, 1.49191761016846, 1245.79370117188, -26.4880771636963, 19.5683307647705, -187.575820922852, 0.0306739639490843, 46.0564079284668, 0.0, -16.8979606628418, 84.8704986572266, 310.921203613281, 553.075439453125, 0.166259571909904, 607.173156738281, 44.5110664367676, 36.6909332275391, 12.4835367202759
InChI%3D1S%2FC3HBr3N2%2Fc4-1-2%285%298-3%286%297-1%2Fh%28H%2C7%2C8%29, 0.0346742123365402, 2.08048272132874, 0.168964266777039, 0.686994671821594, 0.965325772762299, 0.0, -0.602474689483643, 225.828582763672, 102.890953063965, -0.0836095362901688, 0.313005298376083, -122.937622070312, -198.045196533203, 90.232421875, 2.0, 74.2342681884766, 0.274496704339981, 288.277618408203, -27.4840888977051, 10.0758838653564, -65.1013259887695, 0.030651917681098, 37.5599708557129, 2.0, -9.03455638885498, 11.3980913162231, 33.822265625, 317.321441650391, 0.304477363824844, 29.6611595153809, 19.9639644622803, 10.6560354232788, 3.31213974952698
InChI%3D1S%2FC12H24O%2Fc1-3-4-5-6-7-8-9-10-11-12%282%2913%2Fh3-11H2%2C1-2H3, 0.068910151720047, 13.4537258148193, 0.163515761494637, 0.111097849905491, 0.931089818477631, 0.673647880554199, -0.0880363583564758, 57.3924980163574, 459.201629638672, -0.0222298186272383, 0.888902127742767, 401.809112548828, -45.4790649414062, 363.881378173828, 1.0, 29.6486263275146, 0.704385459423065, 409.360443115234, -11.4837942123413, 12.6436033248901, -23.4942169189453, 0.0244749262928963, 24.1273975372314, 0.0, -5.93246030807495, 35.5985794067383, 237.220855712891, 480.995544433594, 0.377928704023361, 187.978973388672, 37.9250335693359, 27.1949672698975, 6.53161096572876
InChI%3D1S%2F2C9H13N.H2O4S%2Fc2%2A1-8%2810%297-9-5-3-2-4-6-9%3B1-5%282%2C3%294%2Fh2%2A2-6%2C8H%2C7%2C10H2%2C1H3%3B%28H2%2C1%2C2%2C3%2C4%29, , , , , , , , , , , , , , , 6.0, , , , , , , , , 4.0, , , , , , , 58.658203125, 35.765796661377, 
