SMILES,nAtomP,nAtom,MLogP,nB,ALogP,LipinksiFailures,naAromAtom,nRotB,XLogP,LipinskiFailures,AMR,nHBDon,ALogp2,nAtomLAC,nAromBond,nAtomLC
InChI%3D1S%2FC8H5N3O4S%2Fc12-4-9-8-10-5%283-16-8%296-1-2-7%2815-6%2911%2813%2914%2Fh1-4H%2C%28H%2C9%2C10%2C12%29, 16.0, 21.0, 1.46000003814697, 17.0, 0.239399999380112, , 10.0, 3.0, 1.51699995994568, 0.0, 22.1271991729736, 1.0, 0.0573123581707478, 0.0, 10.0, 3.0
InChI%3D1S%2FC17H21N3.ClH%2Fc1-19%282%2915-9-5-13%286-10-15%2917%2818%2914-7-11-16%2812-8-14%2920%283%294%3B%2Fh5-12%2C18H%2C1-4H3%3B1H, 16.0, 43.0, 2.89000010490417, 21.0, 0.330000013113022, , 12.0, 4.0, 4.52699995040894, 0.0, 35.1859016418457, 1.0, 0.108900003135204, 0.0, 12.0, 3.0
InChI%3D1S%2FC2H5ClO%2Fc1-4-2-3%2Fh2H2%2C1H3, 0.0, 9.0, 1.46000003814697, 3.0, 0.487399995326996, , 0.0, 1.0, 0.426999986171722, 0.0, 17.6518993377686, 0.0, 0.237558767199516, 0.0, 0.0, 4.0
InChI%3D1S%2FC18H25NO7%2Fc1-3-12-8-11%282%2918%2823%2C10-20%2917%2822%2925-9-13-4-6-19%2824%297-5-14%2815%2813%2919%2926-16%2812%2921%2Fh3-4%2C11%2C14-15%2C20%2C23H%2C5-10H2%2C1-2H3%2Ft11-%2C14%3F%2C15-%2C18-%2C19%3F%2Fm1%2Fs1, 5.0, 51.0, 2.55999994277954, 28.0, -0.875400006771088, , 0.0, 1.0, -1.13999998569489, 0.0, 86.7670974731445, 2.0, 0.766325175762177, 2.0, 0.0, 2.0
InChI%3D1S%2FC6H12N2O3%2Fc1-2-3-8%287-11%294-6%2810%295-9%2Fh2%2C6%2C9-10H%2C1%2C3-5H2, 3.0, 23.0, 1.57000005245209, 10.0, -0.342500001192093, , 0.0, 6.0, -1.04100000858307, 0.0, 41.4679985046387, 2.0, 0.117306247353554, 3.0, 0.0, 11.0
InChI%3D1S%2FC4H7Cl%2Fc1-4%282%293-5%2Fh3H%2C1-2H3, 2.0, 12.0, 1.78999996185303, 4.0, 1.8507000207901, , 0.0, 0.0, 1.71300005912781, 0.0, 24.7329006195068, 0.0, 3.42509055137634, 3.0, 0.0, 5.0
InChI%3D1S%2FCH2O3.K%2Fc2-1%283%294%3B%2Fh%28H2%2C2%2C3%2C4%29%3B%2Fq%3B%2B1%2Fp-1, 4.0, 6.0, 1.12999999523163, 3.0, , , 0.0, 0.0, -0.711000025272369, 0.0, , 1.0, , 0.0, 0.0, 4.0
InChI%3D1S%2FC12H10N2O%2Fc15-13-14%2811-7-3-1-4-8-11%2912-9-5-2-6-10-12%2Fh1-10H, 15.0, 25.0, 2.45000004768372, 16.0, -0.113799996674061, , 12.0, 3.0, 4.81099987030029, 0.0, 8.65709972381592, 0.0, 0.0129504399374127, 0.0, 12.0, 3.0
InChI%3D1S%2FC8H6N4O5%2Fc13-6-4-11%288%2814%2910-6%299-3-5-1-2-7%2817-5%2912%2815%2916%2Fh1-3H%2C4H2%2C%28H%2C10%2C13%2C14%29%2Fb9-3%2B, 16.0, 23.0, 1.35000002384186, 18.0, -1.28090000152588, , 5.0, 3.0, 0.880999982357025, 0.0, 32.3368988037109, 1.0, 1.64070475101471, 0.0, 5.0, 2.0
InChI%3D1S%2FC16H11NO2%2Fc18-17%2819%2914-9-7-12-5-4-10-2-1-3-11-6-8-13%2814%2916%2812%2915%2810%2911%2Fh1-9%2C15-16H, 19.0, 28.0, 2.89000010490417, 22.0, -0.0465999990701675, , 16.0, 1.0, 6.95699977874756, 1.0, 2.88579988479614, 0.0, 0.00217155995778739, 0.0, 19.0, 3.0
InChI%3D1S%2FC16H14N4O3S%2Fc21-20%2822%2914-6-5-13%2824-14%2915-17-12-4-2-1-3-11%2812%2916%2818-15%2919-7-9-23-10-8-19%2Fh1-6H%2C7-10H2, 19.0, 38.0, 2.33999991416931, 27.0, 0.449499994516373, , 15.0, 3.0, 3.39000010490417, 0.0, 34.0452003479004, 0.0, 0.202050253748894, 0.0, 16.0, 3.0
InChI%3D1S%2FC4H9N3O3%2Fc5-4%289%297%286-10%292-1-3-8%2Fh8H%2C1-3H2%2C%28H2%2C5%2C9%29, 6.0, 19.0, 1.24000000953674, 9.0, -0.402099996805191, , 0.0, 5.0, -0.5, 0.0, 32.0351982116699, 3.0, 0.161684408783913, 3.0, 0.0, 10.0
InChI%3D1S%2FC7H6N6O3%2Fc8-6-10-5%2811-7%289%2912-6%293-1-2-4%2816-3%2913%2814%2915%2Fh1-2H%2C%28H4%2C8%2C9%2C10%2C11%2C12%29, 8.0, 24.0, 1.24000000953674, 17.0, -0.496199995279312, , 5.0, 2.0, 1.74699997901917, 0.0, 27.5818004608154, 5.0, 0.246214434504509, 0.0, 5.0, 2.0
InChI%3D1S%2FC6H6N2O3%2Fc7-4-1-2-6%289%295%283-4%298%2810%2911%2Fh1-3%2C9H%2C7H2, 11.0, 17.0, 1.57000005245209, 11.0, -1.25680005550385, , 6.0, 1.0, 1.54799997806549, 0.0, 9.67249965667725, 2.0, 1.57954621315002, 0.0, 6.0, 2.0
InChI%3D1S%2FC18H23NO6%2Fc1-3-12-8-11%282%2918%2823%2C10-20%2917%2822%2924-9-13-4-6-19-7-5-14%2815%2813%2919%2925-16%2812%2921%2Fh3-4%2C14-15%2C20%2C23H%2C2%2C5-10H2%2C1H3%2Ft14-%2C15%3F%2C18-%2Fm1%2Fs1, 5.0, 48.0, 2.67000007629395, 27.0, 0.235100001096725, , 0.0, 1.0, 0.137999996542931, 0.0, 88.9273986816406, 2.0, 0.0552720092236996, 2.0, 0.0, 2.0
InChI%3D1S%2FC4H8N2O%2Fc7-5-6-3-1-2-4-6%2Fh1-4H2, 3.0, 15.0, 1.57000005245209, 7.0, -0.666599988937378, , 0.0, 1.0, 0.46000000834465, 0.0, 23.9046993255615, 0.0, 0.444355547428131, 0.0, 0.0, 2.0
InChI%3D1S%2FC11H10N4%2Fc1-7-3-2-6-15-10%287%2913-8-4-5-9%2812%2914-11%288%2915%2Fh2-6H%2C1H3%2C%28H2%2C12%2C14%29, 3.0, 31.0, 2.23000001907349, 17.0, -0.0604000017046928, , 0.0, 0.0, 1.86600005626678, 0.0, 41.2084999084473, 3.0, 0.00364816002547741, 0.0, 5.0, 0.0
InChI%3D1S%2FC6H10N2O%2Fc1-3-5-8%287-9%296-4-2%2Fh3-4H%2C1-2%2C5-6H2, 3.0, 19.0, 1.78999996185303, 8.0, 1.32439994812012, , 0.0, 5.0, 0.954999983310699, 0.0, 38.3759002685547, 0.0, 1.75403535366058, 3.0, 0.0, 9.0
InChI%3D1S%2FC9H8N4O5%2Fc1-5%2814%2910-4-7-11-9%2812-18-7%296-2-3-8%2817-6%2913%2815%2916%2Fh2-3H%2C4H2%2C1H3%2C%28H%2C10%2C14%29, 8.0, 26.0, 1.46000003814697, 19.0, -0.639100015163422, , 5.0, 4.0, 1.18900001049042, 0.0, 24.550199508667, 1.0, 0.408448815345764, 2.0, 10.0, 5.0
InChI%3D1S%2FC12H9NO%2Fc13-8-5-6-10-9-3-1-2-4-11%289%2914-12%2810%297-8%2Fh1-7H%2C13H2, 14.0, 23.0, 2.55999994277954, 16.0, -0.903999984264374, , 12.0, 0.0, 3.03299999237061, 0.0, 5.84119987487793, 1.0, 0.817215979099274, 0.0, 15.0, 0.0
