SMILES,VCH-5,BCUTw-1h,PolarSurfaceArea,SCH-6,KierShape2,MDEN-23,KierShape3,ATSc4,SCH-7,VCH-6,VCH-7,XLogP,MolarRefractivity,khs.dsN,FPSA-3,BCUTw-1l,Kier2,Kier3,MolecularWeight,THSA,khs.sssN,BCUTc-1h,HBA1,khs.sssCH,BCUTp-1l,SC-3,HBA2,LogP,KierShape1,FractionRotatableBonds
InChI%3D1S%2FC10H8%2Fc1-2-6-10-8-4-3-7-9%2810%295-1%2Fh1-8H,0.0,16.0009727478027,0.0,0.0,2.93877551020408,0.0,1.38271604938272,-0.00616778479889035,0.0,0.0,0.0,0.680999994277954,43.948,1.0,0.038679227232933,11.9989995956421,3.20000004768372,3.0,120.109996795654,245.332427978516,0.0,0.0421749949455261,0.0,0.0,3.80328798294067,0.288675129413605,0.0,2.8398,6.69421487603306,0.0
InChI%3D1S%2FC9H7N3O4S%2Fc1-5%2813%2910-9-11-6%284-17-9%297-2-3-8%2816-7%2912%2814%2915%2Fh2-4H%2C1H3%2C%28H%2C10%2C11%2C13%29,0.113077633082867,31.9720726013184,132.68,0.287457466125488,5.76,0.338061690330505,3.48444444444444,0.0501368045806885,0.464041620492935,0.107108667492867,0.111772589385509,1.75300002098083,64.0358,1.0,,11.9962682723999,5.76000022888184,3.48444437980652,246.182996749878,,0.0,0.277924805879593,5.0,0.0,3.43381643295288,1.44570577144623,5.0,3.4424,13.4320987654321,0.166666666666667
InChI%3D1S%2FC11H13N5O4%2Fc1-15%282%297-12-11-14-13-9%2820-11%295-3-8-4-6-10%2819-8%2916%2817%2918%2Fh3-6H%2C7H2%2C1-2H3%2C%28H%2C12%2C14%29,0.0634834766387939,15.9989767074585,117.58,0.318041384220123,7.85204081632653,1.15010142326355,5.37890625,-0.115356504917145,0.419897556304932,0.0650428757071495,0.0592920705676079,2.2260000705719,72.6864,1.0,0.0432351902127266,11.9967241287231,7.85204076766968,5.37890625,266.1519947052,514.452392578125,1.0,0.278212875127792,4.0,1.0,3.38429713249207,1.5206207036972,4.0,0.2002,16.3718820861678,0.238095238095238
InChI%3D1S%2FC12H5Cl5%2Fc13-8-3-1-2-6%2810%288%2915%297-4-5-9%2814%2912%2817%2911%287%2916%2Fh1-5H,0.0,34.9729766845703,0.0,0.12359693646431,5.32544378698225,0.0,2.56,0.0268668755888939,0.374108165502548,0.0448895953595638,0.147867605090141,4.27099990844727,76.928,0.0,0.0232380870729685,11.9985237121582,5.32544374465942,2.55999994277954,321.396991729736,529.982238769531,0.0,0.142961367964745,0.0,0.0,6.86269426345825,1.32092034816742,0.0,6.6206,13.4320987654321,0.0555555555555556
InChI%3D1S%2FC3H6O2%2Fc4-1-3-2-5-3%2Fh3-4H%2C1-2H2,0.0,15.9977836608887,32.76,0.0,1.0,0.0,0.326530612244898,0.0379717871546745,0.0,0.0,0.0,-0.861999988555908,16.8258,0.0,0.0703433454036713,11.9970207214355,1.0,0.639999985694885,68.0309982299805,175.477157592773,0.0,0.10469364374876,2.0,1.0,3.65949654579163,0.20412415266037,2.0,-0.6225,3.2,0.2
InChI%3D1S%2FC12H12N2O3%2Fc1-2-12%288-6-4-3-5-7-8%299%2815%2913-11%2817%2914-10%2812%2916%2Fh3-7H%2C2H2%2C1H3%2C%28H2%2C13%2C14%2C15%2C16%2C17%29,0.0,15.9969263076782,82.25,0.150174587965012,5.32544378698225,0.0,2.29072315558802,-0.326041221618652,0.25716707110405,0.0445750132203102,0.0474097840487957,2.11100006103516,58.317,,0.0353563837707043,11.8500003814697,5.32544374465942,2.29072308540344,220.142994880676,298.967010498047,,0.371319651603699,5.0,0.0,4.33389711380005,1.29103946685791,5.0,1.2522,13.4320987654321,0.111111111111111
InChI%3D1S%2FC9H8N4O5%2Fc1-5%2814%2910-4-7-11-9%2812-18-7%296-2-3-8%2817-6%2913%2815%2916%2Fh2-3H%2C4H2%2C1H3%2C%28H%2C10%2C14%29,0.0544331036508083,16.0000019073486,130.47,0.287457466125488,6.43786982248521,0.512992799282074,3.99583766909469,0.37240868806839,0.474854648113251,0.0568648241460323,0.0589754469692707,1.18900001049042,60.2638,1.0,,11.9962682723999,6.43787002563477,3.99583768844604,244.121994972229,,0.0,0.277987837791443,6.0,0.0,3.36992383003235,1.44570577144623,6.0,2.2374,14.409972299169,0.210526315789474
InChI%3D1S%2FC8H12N2O3%2Fc1-3-8%284-2%295%2811%299-7%2813%2910-6%288%2912%2Fh3-4H2%2C1-2H3%2C%28H2%2C9%2C10%2C11%2C12%2C13%29,0.0,15.9987058639526,82.25,0.0481125228106976,4.02216066481994,0.0,1.77514792899408,-0.339137047529221,0.212378948926926,0.0125000001862645,0.0339611135423183,1.42299997806549,42.921,2.0,0.028369665145874,11.9962921142578,4.02216053009033,1.77514791488647,172.098996162415,306.135467529297,0.0,0.371286273002625,5.0,0.0,4.25452661514282,1.22130084037781,5.0,0.7106,11.0769230769231,0.153846153846154
InChI%3D1S%2FC4H9N3O%2Fc8-6-7-3-1-5-2-4-7%2Fh5H%2C1-4H2,0.0,15.9949169158936,49.28,0.102062076330185,3.11111111111111,1.15470051765442,1.8,0.0311528146266937,0.0721687823534012,0.0559016987681389,0.025000000372529,-0.642000019550323,26.4268,1.0,0.0373480170965195,11.8999996185303,3.11111116409302,1.79999995231628,106.063998222351,302.63916015625,1.0,0.124045446515083,3.0,0.0,3.20346641540527,0.20412415266037,3.0,0.0539,6.125,0.125
InChI%3D1S%2FC6H7ClN2%2Fc7-4-1-2-5%288%296%289%293-4%2Fh1-3H%2C8-9H2,0.0,34.9688529968262,52.04,0.0680413842201233,2.72222222222222,0.0,1.70414201183432,-0.00937795545905828,0.20412415266037,0.0240562614053488,0.0550550147891045,0.409000009298325,40.2768,0.0,0.0491460934281349,11.9935512542725,2.72222232818604,1.70414197444916,135.532997131348,320.409454345703,0.0,0.0744823962450027,2.0,0.0,5.80192375183105,0.760079681873322,2.0,1.5044,7.11111111111111,0.0
InChI%3D1S%2FC9H12N2O%2Fc1-11%2810-12%298-7-9-5-3-2-4-6-9%2Fh2-6H%2C7-8H2%2C1H3,0.0,16.0168170928955,32.67,0.102062076330185,5.61224489795918,1.0,4.0,-0.020195335149765,0.0721687823534012,0.0320750139653683,0.0226804614067078,1.39699995517731,48.571,1.0,0.0335410684347153,11.9989995956421,5.61224508285522,4.0,152.111996650696,403.946624755859,1.0,0.173580422997475,3.0,0.0,3.18645310401917,0.492799282073975,3.0,1.8423,10.0833333333333,0.333333333333333
InChI%3D1S%2FC10H9Cl4NO2S%2Fc11-9%2812%2910%2813%2C14%2918-15-7%2816%295-3-1-2-4-6%285%298%2815%2917%2Fh1-2%2C5-6%2C9H%2C3-4H2,0.0,31.9753112792969,62.68,0.368499606847763,5.17479191438763,0.0,2.65927977839335,-0.176460549235344,0.840221405029297,0.133306607604027,0.261664479970932,-2.98799991607666,72.5092,2.0,0.0484579876065254,11.9989995956421,17.40234375,10.3834991455078,339.993993759155,660.654907226562,0.0,0.315759271383286,4.0,0.0,6.27501201629639,8.41408634185791,4.0,3.4588,14.409972299169,0.157894736842105
InChI%3D1S%2FC14H12N4O2%2Fc15-5-1-2-6%2816%2910-9%285%2913%2819%2911-7%2817%293-4-8%2818%2912%2811%2914%2810%2920%2Fh1-4H%2C15-18H2,0.0,15.9959259033203,138.22,0.148148149251938,5.32525951557093,0.0,2.2032,-0.111594177782536,0.510129749774933,0.0572916679084301,0.13378694653511,-1.60000002384186,77.3986,0.0,0.0656425207853317,11.8999996185303,5.32525968551636,2.20320010185242,256.17999458313,416.599578857422,0.0,0.248650923371315,6.0,0.0,5.89768743515015,1.77215361595154,6.0,0.790800000000001,14.9173553719008,0.0
InChI%3D1S%2FC6H11IO3%2Fc1-4%287%296-9-3-5%282-8%2910-6%2Fh4-6%2C8H%2C2-3H2%2C1H3,0.039283711463213,126.904472351074,38.69,0.151374712586403,3.40828402366864,0.0,1.99111111111111,0.088327907025814,0.267528623342514,0.050458237528801,0.108646027743816,0.722000002861023,45.1808,0.0,0.0378152318298817,11.9963550567627,3.40828394889832,1.99111115932465,246.966996192932,269.60693359375,0.0,0.170067086815834,3.0,3.0,4.20426750183105,0.70412415266037,3.0,0.5437,8.1,0.2
InChI%3D1S%2FC15H13NO2%2Fc1-10%2817%2916%2818%2913-6-7-15-12%289-13%298-11-4-2-3-5-14%2811%2915%2Fh2-7%2C9%2C18H%2C8H2%2C1H3,0.0441941730678082,15.9959230422974,43.37,0.37359693646431,5.17479191438763,0.0,2.4,0.0136532988399267,0.619346439838409,0.153896108269691,0.218667790293694,1.75199997425079,71.211,0.0,0.0380838811397552,11.8500003814697,5.17479181289673,2.40000009536743,226.169994354248,387.2265625,1.0,0.227203205227852,2.0,0.0,4.40842008590698,1.29794895648956,3.0,3.1085,13.005,0.1
InChI%3D1S%2FC24H38O4%2Fc1-5-9-13-19%287-3%2917-27-23%2825%2921-15-11-12-16-22%2821%2924%2826%2928-18-20%288-4%2914-10-6-2%2Fh11-12%2C15-16%2C19-20H%2C5-10%2C13-14%2C17-18H2%2C1-4H3,0.0,15.9979391098022,52.6,0.0833333358168602,15.7889273356401,0.0,10.0535395597858,-0.035453774034977,0.096225045621395,0.0277777779847383,0.0277777779847383,7.65399980545044,113.619,0.0,0.0307781230658293,11.8900003433228,15.7889270782471,10.053539276123,352.259990692139,727.253967285156,0.0,0.295188248157501,4.0,2.0,5.07698106765747,1.15181839466095,4.0,6.43300000000001,26.0357142857143,0.571428571428571
InChI%3D1S%2FC9H10N4S%2Fc10-7-3-1-6%282-4-7%298-5-14-9%2812-8%2913-11%2Fh1-5H%2C10-11H2%2C%28H%2C12%2C13%29,0.144337564706802,31.9720726013184,105.2,0.234708055853844,4.68,0.0,2.5344,-0.00813751015812159,0.359116762876511,0.172115340828896,0.193159401416779,-0.528999984264374,59.7725,0.0,0.0589109323918819,11.8500003814697,4.67999982833862,2.53439998626709,196.193998336792,390.255981445312,0.0,0.119251184165478,4.0,2.0,5.46138477325439,0.826132595539093,5.0,1.6779,10.5155555555556,0.133333333333333
InChI%3D1S%2FC17H19N3O3S%2Fc1-10-8-18-15%2811%282%2916%2810%2923-4%299-24%2821%2917-19-13-6-5-12%2822-3%297-14%2813%2920-17%2Fh5-8H%2C9H2%2C1-4H3%2C%28H%2C19%2C20%29,0.0360843911767006,31.9720726013184,96.31,0.315235257148743,8.13148283418554,0.0,4.0656,-0.0712273344397545,0.642931520938873,0.113149493932724,0.189652025699615,-0.0810000002384186,93.1562,0.0,0.0408507436513901,11.8900003433228,8.13148307800293,4.06559991836548,326.271994590759,556.706970214844,0.0,0.144396513700485,5.0,1.0,4.86896228790283,1.67072820663452,5.0,3.7654,18.7810650887574,0.192307692307692
InChI%3D1S%2FCH2ClF%2Fc2-1-3%2Fh1H2,0.0,34.9693794250488,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38199996948242,11.828,0.0,0.0499071180820465,11.999472618103,2.0,0.0,66.4619979858398,171.505767822266,0.0,0.222844421863556,0.0,0.0,2.91849851608276,0.0,0.0,1.1522,3.0,0.0
InChI%3D1S%2FC20H24O2%2Fc1-3-20%2822%2911-9-18-17-6-4-13-12-14%2821%295-7-15%2813%2916%2817%298-10-19%2818%2C20%292%2Fh1%2C5%2C7%2C12%2C16-18%2C21-22H%2C4%2C6%2C8-11H2%2C2H3,0.0721687823534012,15.995924949646,40.46,0.459775775671005,5.25,0.0,2.11111111111111,0.00659458059817553,1.06862235069275,0.347061187028885,0.712453961372375,3.49300003051758,86.5066,0.0,0.0437849499285221,11.8900003433228,5.25,2.11111116409302,272.217992782593,494.365631103516,0.0,0.131191223859787,2.0,3.0,5.04074144363403,2.3372950553894,2.0,3.6126,15.5232,0.0
InChI%3D1S%2FC2Cl6%2Fc3-1%284%2C5%292%286%2C7%298,0.0,34.9739570617676,0.0,0.0,1.75,0.0,2.22222222222222,0.109680347144604,0.0,0.0,0.0,3.88199996948242,40.58,0.0,0.0,11.998706817627,1.75,2.22222232818604,236.739994049072,305.882202148438,0.0,0.357137441635132,0.0,0.0,8.03598403930664,2.5,0.0,3.7268,8.0,0.142857142857143
InChI%3D1S%2FC5H10N2O3%2Fc1-7%286-10%294-2-3-5%288%299%2Fh2-4H2%2C1H3%2C%28H%2C8%2C9%29,0.0,16.0169315338135,72.8,0.0,5.76,1.0,7.0,-0.0204417463392019,0.0,0.0,0.0,-0.377000004053116,33.3525,1.0,0.0396923571825027,11.9989995956421,5.76000022888184,7.0,136.065997123718,244.59489440918,1.0,0.25894421339035,4.0,0.0,3.1184720993042,0.696923434734344,5.0,-0.8703,10.0,0.555555555555556
InChI%3D1S%2FC6H6O2%2Fc7-5-3-1-2-4-6%285%298%2Fh1-4%2C7-8H,0.0,15.9982585906982,40.46,0.0833333358168602,2.52,0.0,1.48760330578512,0.0249763056635857,0.16666667163372,0.0277777779847383,0.0248451996594667,1.08299994468689,29.7716,,0.0677900314331055,11.9963550567627,2.51999998092651,1.48760330677032,104.063997268677,195.154006958008,,0.126760989427567,2.0,0.0,4.70625352859497,0.471404522657394,2.0,1.0978,6.125,0.0
