SMILES,pTD50
ClC1=C(Cl)C=C2C(=C1)OC1=C(O2)C=C(Cl)C(=C1)Cl,9.31469053946421
O=C1C=C2C3(O)C(C)(C(C(C)C(O)CCC(O)(C)C)CC3)CCC2C2(C)CC(O)C(O)CC12,7.11322861415348
OC1=CC=C(C(=C(C2=CC=C(O)C=C2)CC)CC)C=C1,6.83652516590471
O=C1N(C=NC(N)=N1)C1OC(CO)C(O)C1O,6.49901323534295
CC1=C2C(=C(C)C3=C1C=CC=C3)C1=C(C=C2)C=CC=C1,6.48453878812744
OC(=O)C(N)CC1=CC=C(N(CCCl)CCCl)C=C1,6.30849284333198
OC1(C#C)C2(C)C(C3C(C4=C(CC(=O)CC4)CC3)CC2)CC1,6.0292227040406
O=C(OC1CC2=CCC3C(C2(C)CC1)CCC1(C)C3CCC1C(C)CCCC(C)C)CC1=CC=C(N(CCCl)CCCl)C=C1,6.01984202661224
CN(N=O)C(=O)NC(C=O)C(O)C(O)C(O)CO,5.98903851292683
S=P(N1CC1)(N1CC1)N1CC1,5.92866102750604
O=C(N)OC=C,5.84648346877404
ClCOCCl,5.80046781149983
CC12CCC3C(C1CCC2OC(=O)CC1=CC=C(N(CCCl)CCCl)C=C1)CCC1=C3C=CC(=C1)OC(=O)CC1=CC=C(N(CCCl)CCCl)C=C1,5.73552638276279
OC1C(C2(C)C3(CC(C(=CC3OC1C21OC1)C)OC(=O)CC(C)C)COC(=O)C)OC(=O)C,5.72291086666732
CNNC,5.72195805859604
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,5.69864562180285
ClC(Cl)(Cl)C1=CC=CC=C1,5.69339092584603
C=C1C2(Cl)C(Cl)C(Cl)(C1(C)C)C(Cl)(Cl)C2(Cl)Cl,5.63028909694773
ClC1(Cl)C2(Cl)C3C(C1(Cl)C(=C2Cl)Cl)C1CC3C2OC12,5.62082468559677
O=C(NC(C)C)C1=CC=C(CNNC)C=C1,5.59834505626796
O=NN(C)C,5.59325042536726
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,5.57545811948071
CCC(=CCC)N(=O)=O,5.572042186328
OC1=C2C(=O)C3=C(OC)C=C4C(=C3OC2=CC=C1)C1C(O4)OC=C1,5.55284007459402
ClC1CC2C3(Cl)C(Cl)(Cl)C(Cl)(C2C1Cl)C(=C3Cl)Cl,5.47582616360758
ClC1(Cl)C2(Cl)C3C(C1(Cl)C(=C2Cl)Cl)C1CC3C=C1,5.45837978271086
C#CC1(OC(=O)C)C2(C)C(C3C(C4C(=CC(=O)CC4)CC3)CC2)CC1,5.40495606640962
O=NN1CCCCCC1,5.38516059392693
BrC1=C(Br)C(=C(Br)C=C1Br)C1=C(Br)C(=C(Br)C(Br)=C1Br)Br,5.37914339214275
OCCNN,5.28258159466355
O=C(N)C1=C(N=CN1)N=NN(C)C,5.27553167642547
CC1=C(N(=O)=O)C2=C(C=C1)C(=O)C1=C(C2=O)C=CC=C1,5.23377085177739
ClC(CCl)CCl,5.22657751793726
ClC#CCl,5.21847694857484
FC1=CC=C(C2=CC=C(N)C=C2)C=C1,5.21543115135748
OCCN(N=O)C(=O)N,5.21144465515147
O=NN1CCCC1,5.16864759645019
O=NN(CCCC)CCCC,5.16189361863797
ClC1=CC=C(C2=CC=C(OC(C)(C)C(=O)OC)C=C2)C=C1,5.08429535857156
COC1=CC2=C(C3=C(N2)C2N(CC3)CC3CC(C(C(C3C2)C(=O)OC)OC)OC(=O)C2=CC(=C(OC)C(=C2)OC)OC)C=C1,5.08368445859624
N1CC1,5.05781174074408
NC(C)C(O)CC(O)CCCCC(O)CC(C)CC(OC(=O)CC(C(=O)O)CC(=O)O)C(OC(=O)CC(C(=O)O)CC(=O)O)C(C)CCCC,5.0265651535451
O=NN1CCCCC1,4.94351658392782
ClCC(Br)CBr,4.93895454506373
CCC(=C(C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1)C1=CC=CC=C1,4.92751136535069
NC(=O)N(C)N=O,4.92326971975716
ClCC=CCCl,4.91505183252354
NC1=CC=C(C2=CC=CC=C2)C=C1,4.90623881205532
ClCOCC1=CC=C(COCCl)C=C1,4.8785042472232
C1=C2C(=C3C=CC4=C5C3=C1C=CC5=CC=C4)C=CC=C2,4.86160378390841
NC(=NN(=O)=O)N(C)N=O,4.86009596769189
ClCOC(COCCl)COCCl,4.83911961715503
O=CN(C)N=CCCCCC,4.82639600227594
O=CN(C)N=CCC(C)C,4.80459137381128
ClC1=C2CC(C)OC(=O)C2=C(O)C(=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)O,4.79932205151095
O=C1OCC1,4.76428860373729
NC(=NCC)N(N(=O)=O)N=O,4.75383003497228
ClCCN(C(C)COC1=CC=CC=C1)CC1=CC=CC=C1,4.75346028924511
O=CN(N)C,4.7329916623841
O=P1(OCCCN1CCCl)NCCCl,4.71263206974102
S=P(SCN1N=C(SC1=O)OC)(OC)OC,4.69945062595733
C1=C2C3=C(C=CC2=CC2=C4C(=CC=C12)C=CC=C4)C=CC=C3,4.67520859469792
OC(=O)C(C)(C)OC1=CC=C(C2C(Cl)(Cl)C2)C=C1,4.66873736478292
FC1=CNC(=O)NC1=O,4.64290980268252
O=P1(OCCCN1)N(CCCl)CCCl,4.64153632684058
NC1=CC2=C(OC3=C2C=CC=C3)C=C1,4.63557383612459
