SMILES,THSA,WNSA-1,WPSA-1,nHBAcc,apol,RNCG,WNSA-2,WPSA-2,bpol,WNSA-3,WPSA-3,nHBDon,RPSA,RNCS,PNSA-1,RPCG,FNSA-1,PNSA-2,RPCS,FNSA-2,PNSA-3,RHSA,FNSA-3,PPSA-1,TPSA,FPSA-1,DPSA-1,PPSA-2,FPSA-2,DPSA-2,PPSA-3,FPSA-3,DPSA-3
InChI%3D1S%2FC10H8%2Fc1-2-6-10-8-4-3-7-9%2810%295-1%2Fh1-8H,345.358489990234,49.9391479492188,69.3333358764648,0.0,22.9343433380127,0.123182572424412,-24.797384262085,34.4276084899902,8.74565601348877,-2.76310849189758,4.30084991455078,0.0,0.0,1.73939263820648,144.60090637207,0.125589475035667,0.418697983026505,-71.8018646240234,2.72550868988037,-0.207905307412148,-8.00069618225098,1.0,-0.0231663528829813,200.757583618164,0.0,0.581302046775818,56.1566886901855,99.6865844726562,0.288646668195724,171.48844909668,12.4532918930054,0.0360590294003487,20.4539890289307
InChI%3D1S%2FC9H7N3O4S%2Fc1-5%2813%2910-9-11-6%284-17-9%297-2-3-8%2816-7%2912%2814%2915%2Fh2-4H%2C1H3%2C%28H%2C10%2C11%2C13%29,,,,3.0,29.9155502319336,,,,15.7444486618042,,,1.0,,,,,,,,,,,,,,,,,,,,,
InChI%3D1S%2FC11H13N5O4%2Fc1-15%282%297-12-11-14-13-9%2820-11%295-3-8-4-6-10%2819-8%2916%2817%2918%2Fh3-6H%2C7H2%2C1-2H3%2C%28H%2C12%2C14%29,473.638549804688,118.833610534668,176.053115844727,5.0,38.069896697998,0.156257629394531,-223.859771728516,331.650390625,24.7861042022705,-15.903468132019,12.6430549621582,2.0,0.127793252468109,3.16842842102051,218.832427978516,0.12481415271759,0.402980536222458,-412.238403320312,1.02841210365295,-0.759138166904449,-29.2862815856934,0.872206747531891,-0.0539307706058025,324.202301025391,69.3961791992188,0.597019493579865,105.369895935059,610.735107421875,1.12467038631439,1022.97351074219,23.2822227478027,0.042874276638031,52.5685043334961
InChI%3D1S%2FC12H5Cl5%2Fc13-8-3-1-2-6%2810%288%2915%297-4-5-9%2814%2912%2817%2911%287%2916%2Fh1-5H,572.33203125,247.444747924805,80.1191787719727,0.0,35.3539657592773,0.147448465228081,-214.414764404297,69.4245300292969,7.56603479385376,-25.3142356872559,5.50892162322998,0.0,0.0,9.40280914306641,432.344757080078,0.141034826636314,0.755409002304077,-374.633514404297,0.718527555465698,-0.654573798179626,-44.2299842834473,1.0,-0.0772802904248238,139.987243652344,0.0,0.2445909678936,-292.357513427734,121.301139831543,0.211941912770271,495.934661865234,9.62539482116699,0.0168178509920835,53.8553810119629
InChI%3D1S%2FC3H6O2%2Fc4-1-3-2-5-3%2Fh3-4H%2C1-2H2,219.441909790039,34.5780906677246,94.9977493286133,2.0,10.8847579956055,0.515052974224091,-26.3836307525635,72.4847793579102,8.47524166107178,-13.2256078720093,8.52631855010986,1.0,0.390382289886475,26.8426666259766,96.059211730957,0.275024473667145,0.266856014728546,-73.2946929931641,12.2290506362915,-0.203615352511406,-36.7412261962891,0.609617710113525,-0.102068468928337,263.9072265625,140.524520874023,0.733143985271454,167.848022460938,201.365386962891,0.55940043926239,274.660095214844,23.6864261627197,0.0658017620444298,60.4276504516602
InChI%3D1S%2FC12H12N2O3%2Fc1-2-12%288-6-4-3-5-7-8%299%2815%2913-11%2817%2914-10%2812%2916%2Fh3-7H%2C2H2%2C1H3%2C%28H2%2C13%2C14%2C15%2C16%2C17%29,335.439605712891,66.8606033325195,143.749099731445,5.0,33.7275161743164,0.204258933663368,-113.531784057617,244.09130859375,16.7164840698242,-13.3187351226807,12.7200365066528,2.0,0.269071102142334,2.68166565895081,145.690460205078,0.218649342656136,0.317462116479874,-247.387802124023,0.405697405338287,-0.539062440395355,-29.0217609405518,0.730928897857666,-0.0632389411330223,313.231872558594,123.482734680176,0.682537853717804,167.541412353516,531.879333496094,1.15897464752197,779.267150878906,27.7171878814697,0.0603962503373623,56.7389488220215
InChI%3D1S%2FC9H8N4O5%2Fc1-5%2814%2910-4-7-11-9%2812-18-7%296-2-3-8%2817-6%2913%2815%2916%2Fh2-3H%2C4H2%2C1H3%2C%28H%2C10%2C14%29,,,,3.0,29.5843448638916,,,,16.4736557006836,,,1.0,,,,,,,,,,,,,,,,,,,,,
InChI%3D1S%2FC8H12N2O3%2Fc1-3-8%284-2%295%2811%299-7%2813%2910-6%288%2912%2Fh3-4H2%2C1-2H3%2C%28H2%2C9%2C10%2C11%2C12%2C13%29,227.796661376953,52.3381767272949,81.5649490356445,5.0,26.6875152587891,0.234970092773438,-77.3128356933594,120.485992431641,16.7164840698242,-12.6518716812134,5.18876123428345,2.0,0.377481877803802,6.33033037185669,143.028717041016,0.251325368881226,0.390865981578827,-211.278961181641,1.27251887321472,-0.577378869056702,-34.574779510498,0.622518122196198,-0.0944852605462074,222.899047851562,138.131103515625,0.609134018421173,79.8703308105469,329.261688232422,0.899799764156342,540.540649414062,14.1797428131104,0.0387501157820225,48.7545204162598
InChI%3D1S%2FC4H9N3O%2Fc8-6-7-3-1-5-2-4-7%2Fh5H%2C1-4H2,308.408599853516,27.4613189697266,85.121940612793,2.0,17.1431369781494,0.519317388534546,-16.5902690887451,51.4249153137207,12.1168632507324,-5.30632162094116,4.06131649017334,1.0,0.0808432698249817,14.086841583252,81.8435516357422,0.202220171689987,0.243920087814331,-49.4443321228027,4.38405418395996,-0.147359997034073,-15.8145427703857,0.919156730175018,-0.047132421284914,253.690734863281,27.1256885528564,0.756079912185669,171.847183227539,153.262771606445,0.456772297620773,202.707107543945,12.1040287017822,0.0360738933086395,27.918571472168
InChI%3D1S%2FC6H7ClN2%2Fc7-4-1-2-5%288%296%289%293-4%2Fh1-3H%2C8-9H2,297.980895996094,46.8844795227051,62.9867515563965,2.0,19.607551574707,0.364190459251404,-38.7690048217773,52.0840492248535,6.75244903564453,-6.83293056488037,5.89017391204834,2.0,0.101027503609657,4.75174856185913,141.444839477539,0.150138646364212,0.426722079515457,-116.961433410645,2.68034934997559,-0.352858573198318,-20.6141300201416,0.898972511291504,-0.0621903538703918,190.023452758789,33.4874153137207,0.57327789068222,48.5786094665527,157.131317138672,0.474046289920807,274.092742919922,17.769947052002,0.0536097921431065,38.3840751647949
