SMILES,VP-0,XLogP,VP-1,ATSc2,ATSc3,khs.dsCH,WPSA-1,ATSc4,WNSA-1,RNCG,C1SP2,THSA,nAtomP,ALogp2,PNSA-1,ALogP
InChI%3D1S%2FC10H9NO6%2Fc1-16-9%2812%296-3-4-7%2810%2813%2917-2%298%285-6%2911%2814%2915%2Fh3-5H%2C1-2H3,9.12875461578369,1.79900002479553,4.45978212356567,-0.330592721700668,0.211008235812187,0.0,137.075897216797,-0.146659672260284,107.76171875,0.208062425255775,2.0,383.036682128906,15.0,0.000585640023928136,217.783737182617,-0.0241999998688698
InChI%3D1S%2FC12H17NO%2Fc1-4-13%285-2%2912%2814%2911-8-6-7-10%283%299-11%2Fh6-9H%2C4-5H2%2C1-3H3,9.07907676696777,3.76699995994568,5.04576730728149,-0.121978618204594,0.0604772008955479,0.0,168.261749267578,-0.0300540383905172,55.8737640380859,0.296509265899658,1.0,439.315338134766,9.0,0.507798731327057,118.019180297852,0.712599992752075
InChI%3D1S%2FC5H4ClNO%2Fc6-4-1-2-5%288%297-3-4%2Fh1-3H%2C%28H%2C7%2C8%29,4.76037120819092,1.03299999237061,2.47171783447266,-0.0982278883457184,0.0126126389950514,0.0,66.2682189941406,0.0218612607568502,55.1667976379395,0.462030112743378,0.0,251.881210327148,7.0,0.080655999481678,158.30908203125,0.284000009298325
InChI%3D1S%2FC8H8Cl2%2Fc9-5-7-1-2-8%286-10%294-3-7%2Fh1-4H%2C5-6H2,,3.7039999961853,,,,,65.1539001464844,,72.5569686889648,0.272316128015518,,371.094146728516,6.0,2.28553915023804,195.521728515625,1.51180005073547
InChI%3D1S%2FC9H11N%2Fc1-2-8-10-9-6-4-3-5-7-9%2Fh2-7%2C10H%2C1%2C8H2,5.87831497192383,2.98200011253357,3.33073353767395,-0.0385538749396801,0.00263515952974558,1.0,115.257415771484,0.00362430140376091,60.2379417419434,0.3874451816082,1.0,411.175659179688,7.0,0.0892216935753822,143.792861938477,0.298700004816055
InChI%3D1S%2FC7H8O%2Fc1-6-2-4-7%288%295-3-6%2Fh2-5%2C8H%2C1H3,4.75661468505859,2.36700010299683,2.54497408866882,-0.0237379856407642,-0.0129380654543638,0.0,57.6578598022461,-0.00100556667894125,28.4776554107666,0.574418127536774,0.0,237.681579589844,7.0,0.033014889806509,97.0315856933594,0.181700006127357
InChI%3D1S%2FC10H22O%2Fc1-2-3-4-5-6-7-8-9-10-11%2Fh11H%2C2-10H2%2C1H3,7.8111743927002,4.2649998664856,5.02333450317383,-0.0336307436227798,-0.00744553282856941,0.0,265.861602783203,-0.000603174732532352,52.4488830566406,0.457969725131989,0.0,505.292938232422,0.0,7.29756212234497,92.963134765625,-2.7014000415802
InChI%3D1S%2FC6H6N2O3%2Fc7-4-1-2-6%289%295%283-4%298%2810%2911%2Fh1-3%2C9H%2C7H2,5.52032470703125,1.54799997806549,2.83907103538513,0.00578310946002603,-0.0449167415499687,0.0,52.3871154785156,-0.0886714607477188,57.7507629394531,0.360040187835693,0.0,269.727172851562,11.0,1.57954621315002,174.016067504883,-1.25680005550385
InChI%3D1S%2FC8H9NO%2Fc1-6%2810%297-3-2-4-8%289%295-7%2Fh2-5H%2C9H2%2C1H3,5.79499959945679,1.26800000667572,3.06416654586792,-0.0307433605194092,-0.0294805485755205,0.0,71.9436416625977,8.49978096084669e-05,39.0978660583496,0.384555906057358,0.0,272.223083496094,9.0,1.00761449337006,117.330352783203,-1.00380003452301
InChI%3D1S%2FC10H19O6PS2%2Fc1-5-15-9%2811%297-8%2810%2812%2916-6-2%2919-17%2818%2C13-3%2914-4%2Fh8H%2C5-7H2%2C1-4H3,13.9392910003662,2.00699996948242,9.76392078399658,-0.566419005393982,0.359758257865906,0.0,310.921203613281,-0.214574784040451,96.053810119629,0.166259571909904,2.0,553.075439453125,4.0,3.85768890380859,150.567321777344,1.96410000324249
